Date,Light
23/01/2017 23:43,21.576
23/01/2017 23:48,20.44
23/01/2017 23:53,6.813
23/01/2017 23:58,7.949
24/01/2017 0:03,46.558
24/01/2017 0:08,13.627
24/01/2017 0:13,13.627
24/01/2017 0:18,13.627
24/01/2017 0:23,23.847
24/01/2017 0:28,144.215
24/01/2017 0:33,228.247
24/01/2017 0:38,273.669
24/01/2017 0:43,135.131
24/01/2017 0:48,196.451
24/01/2017 0:53,116.962
24/01/2017 0:58,85.167
24/01/2017 1:03,151.029
24/01/2017 1:08,178.282
24/01/2017 1:13,126.047
24/01/2017 1:18,94.251
24/01/2017 1:23,139.673
24/01/2017 1:28,110.149
24/01/2017 1:33,101.064
24/01/2017 1:38,103.336
24/01/2017 1:43,119.233
24/01/2017 1:48,123.776
24/01/2017 1:53,144.215
24/01/2017 1:58,119.233
24/01/2017 2:03,128.318
24/01/2017 2:08,135.131
24/01/2017 2:13,130.589
24/01/2017 2:18,137.402
24/01/2017 2:23,139.673
24/01/2017 2:28,139.673
24/01/2017 2:33,139.673
24/01/2017 2:38,141.944
24/01/2017 2:43,141.944
24/01/2017 2:48,141.944
24/01/2017 2:53,144.215
24/01/2017 2:58,141.944
24/01/2017 3:03,139.673
24/01/2017 3:08,164.655
24/01/2017 3:13,164.655
24/01/2017 3:18,164.655
24/01/2017 3:23,164.655
24/01/2017 3:28,164.655
24/01/2017 3:33,169.198
24/01/2017 3:38,169.198
24/01/2017 3:43,169.198
24/01/2017 3:48,173.74
24/01/2017 3:53,178.282
24/01/2017 3:58,178.282
24/01/2017 4:03,182.824
24/01/2017 4:08,191.909
24/01/2017 4:13,200.993
24/01/2017 4:18,219.162
24/01/2017 4:23,241.873
24/01/2017 4:28,250.958
24/01/2017 4:33,269.127
24/01/2017 4:38,273.669
24/01/2017 4:43,287.295
24/01/2017 4:48,291.838
24/01/2017 4:53,300.922
24/01/2017 4:58,310.007
24/01/2017 5:03,337.26
24/01/2017 5:08,355.429
24/01/2017 5:13,373.598
24/01/2017 5:18,382.682
24/01/2017 5:23,355.429
24/01/2017 5:28,355.429
24/01/2017 5:33,319.091
24/01/2017 5:38,287.295
24/01/2017 5:43,310.007
24/01/2017 5:48,310.007
24/01/2017 5:53,455.358
24/01/2017 5:58,419.02
24/01/2017 6:03,446.273
24/01/2017 6:08,455.358
24/01/2017 6:13,473.526
24/01/2017 6:18,328.175
24/01/2017 6:23,337.26
24/01/2017 6:28,346.344
24/01/2017 6:33,355.429
24/01/2017 6:38,355.429
24/01/2017 6:43,364.513
24/01/2017 6:48,373.598
24/01/2017 6:53,391.767
24/01/2017 6:58,419.02
24/01/2017 7:03,419.02
24/01/2017 7:08,419.02
24/01/2017 7:13,419.02
24/01/2017 7:18,428.104
24/01/2017 7:23,455.358
24/01/2017 7:28,482.611
24/01/2017 7:33,482.611
24/01/2017 7:38,491.695
24/01/2017 7:43,500.78
24/01/2017 7:48,491.695
24/01/2017 7:53,509.864
24/01/2017 7:58,537.118
24/01/2017 8:03,564.371
24/01/2017 8:08,582.54
24/01/2017 8:13,618.878
24/01/2017 8:18,655.215
24/01/2017 8:23,655.215
24/01/2017 8:28,618.878
24/01/2017 8:33,618.878
24/01/2017 8:38,618.878
24/01/2017 8:43,582.54
24/01/2017 8:48,564.371
24/01/2017 8:53,509.864
24/01/2017 8:58,437.189
24/01/2017 9:03,355.429
24/01/2017 9:08,269.127
24/01/2017 9:13,137.402
24/01/2017 9:18,130.589
24/01/2017 9:23,87.438
24/01/2017 9:28,48.829
24/01/2017 9:33,42.016
24/01/2017 9:38,35.202
24/01/2017 9:43,27.253
24/01/2017 9:48,21.576
24/01/2017 9:53,14.762
24/01/2017 9:58,11.356
24/01/2017 10:03,7.949
24/01/2017 10:08,5.678
24/01/2017 10:13,4.542
24/01/2017 10:18,3.407
24/01/2017 10:23,29.524
24/01/2017 10:28,29.524
24/01/2017 10:33,27.253
24/01/2017 10:38,28.389
24/01/2017 10:43,28.389
24/01/2017 10:48,28.389
24/01/2017 10:53,28.389
24/01/2017 10:58,28.389
24/01/2017 11:03,28.389
24/01/2017 11:08,28.389
24/01/2017 11:13,28.389
24/01/2017 11:18,28.389
24/01/2017 11:23,28.389
24/01/2017 11:28,28.389
24/01/2017 11:33,28.389
24/01/2017 11:38,28.389
24/01/2017 11:43,28.389
24/01/2017 11:48,28.389
24/01/2017 11:53,27.253
24/01/2017 11:58,20.44
24/01/2017 12:03,20.44
24/01/2017 12:08,20.44
24/01/2017 12:13,20.44
24/01/2017 12:18,20.44
24/01/2017 12:23,20.44
24/01/2017 12:28,15.898
24/01/2017 12:33,15.898
24/01/2017 12:38,14.762
24/01/2017 12:43,14.762
24/01/2017 12:48,14.762
24/01/2017 12:53,14.762
24/01/2017 12:58,14.762
24/01/2017 13:03,14.762
24/01/2017 13:08,14.762
24/01/2017 13:13,14.762
24/01/2017 13:18,14.762
24/01/2017 13:23,14.762
24/01/2017 13:28,14.762
24/01/2017 13:33,14.762
24/01/2017 13:38,1.136
24/01/2017 13:43,1.136
24/01/2017 13:48,1.136
24/01/2017 13:53,1.136
24/01/2017 13:58,1.136
24/01/2017 14:03,1.136
24/01/2017 14:08,1.136
24/01/2017 14:13,1.136
24/01/2017 14:18,1.136
24/01/2017 14:23,1.136
24/01/2017 14:28,1.136
24/01/2017 14:33,1.136
24/01/2017 14:38,1.136
24/01/2017 14:43,1.136
24/01/2017 14:48,1.136
24/01/2017 14:53,1.136
24/01/2017 14:58,1.136
24/01/2017 15:03,1.136
24/01/2017 15:08,1.136
24/01/2017 15:13,1.136
24/01/2017 15:18,1.136
24/01/2017 15:23,1.136
24/01/2017 15:28,1.136
24/01/2017 15:33,1.136
24/01/2017 15:38,1.136
24/01/2017 15:43,1.136
24/01/2017 15:48,1.136
24/01/2017 15:53,1.136
24/01/2017 15:58,1.136
24/01/2017 16:03,1.136
24/01/2017 16:08,1.136
24/01/2017 16:13,1.136
24/01/2017 16:18,1.136
24/01/2017 16:23,1.136
24/01/2017 16:28,1.136
24/01/2017 16:33,1.136
24/01/2017 16:38,1.136
24/01/2017 16:43,1.136
24/01/2017 16:48,1.136
24/01/2017 16:53,1.136
24/01/2017 16:58,1.136
24/01/2017 17:03,1.136
24/01/2017 17:08,1.136
24/01/2017 17:13,1.136
24/01/2017 17:18,1.136
24/01/2017 17:23,1.136
24/01/2017 17:28,1.136
24/01/2017 17:33,1.136
24/01/2017 17:38,1.136
24/01/2017 17:43,1.136
24/01/2017 17:48,1.136
24/01/2017 17:53,1.136
24/01/2017 17:58,1.136
24/01/2017 18:03,1.136
24/01/2017 18:08,1.136
24/01/2017 18:13,1.136
24/01/2017 18:18,1.136
24/01/2017 18:23,1.136
24/01/2017 18:28,1.136
24/01/2017 18:33,1.136
24/01/2017 18:38,1.136
24/01/2017 18:43,1.136
24/01/2017 18:48,1.136
24/01/2017 18:53,1.136
24/01/2017 18:58,1.136
24/01/2017 19:03,1.136
24/01/2017 19:08,1.136
24/01/2017 19:13,1.136
24/01/2017 19:18,1.136
24/01/2017 19:23,1.136
24/01/2017 19:28,1.136
24/01/2017 19:33,1.136
24/01/2017 19:38,1.136
24/01/2017 19:43,1.136
24/01/2017 19:48,3.407
24/01/2017 19:53,5.678
24/01/2017 19:58,9.084
24/01/2017 20:03,12.491
24/01/2017 20:08,17.033
24/01/2017 20:13,22.711
24/01/2017 20:18,28.389
24/01/2017 20:23,35.202
24/01/2017 20:28,40.88
24/01/2017 20:33,46.558
24/01/2017 20:38,51.1
24/01/2017 20:43,55.642
24/01/2017 20:48,59.049
24/01/2017 20:53,63.591
24/01/2017 20:58,66.998
24/01/2017 21:03,69.269
24/01/2017 21:08,72.676
24/01/2017 21:13,73.811
24/01/2017 21:18,59.049
24/01/2017 21:23,61.32
24/01/2017 21:28,62.456
24/01/2017 21:33,64.727
24/01/2017 21:38,65.862
24/01/2017 21:43,66.998
24/01/2017 21:48,68.133
24/01/2017 21:53,70.404
24/01/2017 21:58,69.269
24/01/2017 22:03,9.084
24/01/2017 22:08,1.136
24/01/2017 22:13,1.136
24/01/2017 22:18,1.136
24/01/2017 22:23,1.136
24/01/2017 22:28,1.136
24/01/2017 22:33,1.136
24/01/2017 22:38,1.136
24/01/2017 22:43,1.136
24/01/2017 22:48,1.136
24/01/2017 22:53,1.136
24/01/2017 22:58,1.136
24/01/2017 23:03,1.136
24/01/2017 23:08,1.136
24/01/2017 23:13,1.136
24/01/2017 23:18,1.136
24/01/2017 23:23,1.136
24/01/2017 23:28,1.136
24/01/2017 23:33,1.136
24/01/2017 23:38,1.136
24/01/2017 23:43,1.136
24/01/2017 23:48,1.136
24/01/2017 23:53,1.136
24/01/2017 23:58,1.136
25/01/2017 0:03,1.136
25/01/2017 0:08,1.136
25/01/2017 0:13,1.136
25/01/2017 0:18,1.136
25/01/2017 0:23,1.136
25/01/2017 0:28,1.136
25/01/2017 0:33,1.136
25/01/2017 0:38,1.136
25/01/2017 0:43,1.136
25/01/2017 0:48,1.136
25/01/2017 0:53,1.136
25/01/2017 0:58,1.136
25/01/2017 1:03,1.136
25/01/2017 1:08,1.136
25/01/2017 1:13,1.136
25/01/2017 1:18,1.136
25/01/2017 1:23,1.136
25/01/2017 1:28,1.136
25/01/2017 1:33,1.136
25/01/2017 1:38,1.136
25/01/2017 1:43,1.136
25/01/2017 1:48,1.136
25/01/2017 1:53,1.136
25/01/2017 1:58,1.136
25/01/2017 2:03,1.136
25/01/2017 2:08,1.136
25/01/2017 2:13,1.136
25/01/2017 2:18,1.136
25/01/2017 2:23,1.136
25/01/2017 2:28,1.136
25/01/2017 2:33,1.136
25/01/2017 2:38,1.136
25/01/2017 2:43,1.136
25/01/2017 2:48,1.136
25/01/2017 2:53,1.136
25/01/2017 2:58,1.136
25/01/2017 3:03,1.136
25/01/2017 3:08,1.136
25/01/2017 3:13,1.136
